DETAILED PROJECT REPORT (DPR) ACTIVITY SCHEDULE,,,,,,
,,,,,,
Sr No.,Activity Description ,Reference,Volume,Annexure,Status of activity,Estimated or Actual Date of Completion
,Submission of Forest Proposal to Concern DCF office,,,,,
,Forest / Wild life Clearance Stage-I Approval (Principal Approval from RO(HQ) New Delhi),,,,,
,RA Bill (On Forest / Wild life Principal Approval)),,,,,
,"Forest / Wild life Clearance Stage-II Approval (Final Approval from MoEFCC Head office, New Delhi)",,,,,
,RA Bill (On Forest / Wild life Stage-II/Final Approval)),,,,,
►,FRA Certificate,,,,,
,Submission of proposal for FRA clearance ,,,,,
►,GAD Approval (From Railway),,,,,
,Final approval of GAD from CBE Mumbai ,,,,,
►,"Irrigation Department, Electricity Department. and any other concerned agencies",,,,,
,Final approval of project related clearance.,,,,,
►,Submission,,,,,
,"Submission of Clearacne Report (Environment, Forest Department, Wild life, CRZ, Railways in respect of ROB/ RUBs, Irrigation Department, Electricity Department. and any other concerned agencies) with final approval for project related clearance.",,LA IV Report,,,
,Retention to be released after 3 years,,,,,
